QueryText,Sector
INFORMATION REGARDING WEATHER OF FEROZEPUR?,AGRICULTURE
problem of white fly in peach?,HORTICULTURE
INFORMATION REGARDING FOR THE CONTROL OF TERMITE IN SUGARCANE CROP?,AGRICULTURE
information regarding dose of urea in bhindi?,HORTICULTURE
control of stem rot in barseam?,AGRICULTURE
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF SUMMER MAIZE?,AGRICULTURE
fertilizers of tomato?,HORTICULTURE
INFORMATION REGARDING FOR THE SUITABLE SEED RATE OF PADDY(JHONA) PER ACRE?,AGRICULTURE
INFORMATION REGARDING CHANCES OF RAINFALL IN DIST?,AGRICULTURE
information regarding to control of root rot in  chilli,HORTICULTURE
INFORMATION REGARDING CONTROL OF APHIDS IN BRINJAL ?,HORTICULTURE
information regarding to control of citrus psylla in citrus,HORTICULTURE
INFORMATION REGARDING TO THE IRRIGATION IN THE WHEAT CROP ?,AGRICULTURE
INFORMATION REGARDING FOR THE CONTROL OF APHIDS IN WHEAT CROP?,AGRICULTURE
INFORMATION REGARDING TO THE CONTROL OF APHID IN WHEAT.?,AGRICULTURE
WEATHER IN AMRITSAR?,AGRICULTURE
WEATHJER REPORT FOR AMRITSAR?,AGRICULTURE
problam of deflower in guava?,HORTICULTURE
"control of dropping flower in lemon?
.",HORTICULTURE
WEATHER REPORT IN AMRITSAR?,AGRICULTURE
#:  INFORMATION REGARDING IMPROVED VARIETIES OF MAIZE ?,AGRICULTURE
#     INFORMATION REGARDING TO THE CONTROL OF STEM BORER IN THE WHEAT CROP ?,AGRICULTURE
WHETHER TO NEED TO IRRIGATE WHEAT CROP BEFORE15 DAYS OF HARVEST?,AGRICULTURE
information regarding to the weather condition ?,AGRICULTURE
WEED INFESTION IN SUGARCANE CROP,AGRICULTURE
INFORMATION REGARDING TO THE CONTROL OF STEM BORER IN THE WHEAT CROP ?,AGRICULTURE
INFORMATION REGARDING TO THE SEED RATE OF SUMMER MOONG ?,AGRICULTURE
contactno. of pau ludhiana?,AGRICULTURE
INFORMATION REGARDING CONTROL OF APHID IN WHEAT?,AGRICULTURE
INFORMATION REGARDING FOR THE CONTROL OF HAIRY CATTERPILLER ATTACK ON BLACK GRAM(MAH) CROP?,AGRICULTURE
WHICH ARE THE NEW VARIETIES OF BASMATI?,AGRICULTURE
weather information.,AGRICULTURE
INFORMATION REGARDING TO THE CONTROL OF YELLOW RUST IN THE WHEAT ?,AGRICULTURE
INFORMATION REGARDING LATEST VARIETIES OF RICE CROP ?,AGRICULTURE
INFORMATION REGARDING TO THE CONTROL OF STEM BORER IN THE WHEAT CROP ?,AGRICULTURE
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE
NEW VARIETIES OF PADDY RELEASED BY PAU LUDHIANA?,AGRICULTURE
information regarding to suitable varieties of mungbean,AGRICULTURE
information regarding jassid in bhindi ?,HORTICULTURE
#   INFORMATION REGARDING TO THE IMPROVED VARIETIES OF SUMMER MOONG ?,AGRICULTURE
#   INFORMATION REGARDING TO THE IMPROVED VARIETIES OF SUMMER MOONG ?,AGRICULTURE
information regarding to control of stem borer in sugarcane,AGRICULTURE
NFORMATION REGARDING TO irrigation IN THE SUMMER MOONG ?,AGRICULTURE
information regarding to control of weed in mungbean,AGRICULTURE
asking about weather forcasting,AGRICULTURE
how are weather today?,AGRICULTURE
information regarding to control of bihar hairy catterpiller,AGRICULTURE
IF THERE ARE ANY CHANCES OF RAINFALL TODAY.?,AGRICULTURE
INFORMATION ABOUT PAU NUMBER?,AGRICULTURE
information regarding to control of jassid in pumpkin,HORTICULTURE
information regarding to control of bihar hairy catterpiller,AGRICULTURE
IF THERE ARE ANY CHANCES OF RAINFALL TODAY.?,AGRICULTURE
INFORMATION REGARDING LATEST VARIETIES OF RICE CROP ?,AGRICULTURE
information regarding to new varieties of rice,AGRICULTURE
INFORMATION REGARDING DOSE OF UREA FOR GUAVA SIX YEAR PLANT?,HORTICULTURE
INFORMATION REGARDING TO THE CONDITION OF WEATHER,AGRICULTURE
TERMITS PROBLEMS IN SUGARCANE CROP,AGRICULTURE
asking about weather forcasting,AGRICULTURE
CONTECT NO. OF PAU  LUDHIANA,AGRICULTURE
information regarding weather condition?,AGRICULTURE
control of termite in barseam?,AGRICULTURE
control of leaf catterpillar ?,HORTICULTURE
INFORMATION REGARDING FOR THE SUITABLE SOWING TIME OF PADDY(JHONA) ?,AGRICULTURE
information regarding weather ?,AGRICULTURE
INFORMATION REGARDING TO THE SEED RATE OF[SPRING SEASON] MAIZ CROP ?,AGRICULTURE
WEATHER IN AMRITSAR?,AGRICULTURE
WEATHER INFROAMTION?,AGRICULTURE
BARSEEM CATERPILLAR PROBLEM?,AGRICULTURE
INFORMATION REGARDING THE FOLIAR SPRAY OF ZnSo4 IN CITRUS.?,HORTICULTURE
INFORMATION REGARDING THE CONTROL OF FLOWER DROPPING.?,HORTICULTURE
INFORMATION REGARDING FOR THE SOWING TIME OF BAJRA?,AGRICULTURE
information regarding to weather?,AGRICULTURE
CONTECT NO. OF PAU  LUDHIANA,AGRICULTURE
information regading improved varieties of paddy.,AGRICULTURE
INFORMATION REGARDING FOR THE CONTROL OF LATE BLIGHT DISEASE IN TOMATO CROP?,HORTICULTURE
WEATHER REPORT?,AGRICULTURE
ASKINGH NEW VERITIES OF COTTON CROP?,AGRICULTURE
weather of amritsar ?,AGRICULTURE
information regarding to new varieties of basmati rice,AGRICULTURE
INFORMATION REGARDING DOSE OF UREA IN TOMATO?,HORTICULTURE
control of worm in bhindi?,HORTICULTURE
fruit droping problem in citrus,HORTICULTURE
asking about new verities of rice crop,AGRICULTURE
INFORMATION REGARDING LATEST VARIETIES OF RICE CROP ?,AGRICULTURE
INFORMATION REGARDING TO THE IMPROVED VARIETIES OF SUMMER MOONG ?,AGRICULTURE
cont no of pau?,AGRICULTURE
INFORMATION REGARDING TO THE CONTROL OF YELLOW RUST IN THE WHEAT ?,AGRICULTURE
information regarding to control of root rot in okra,HORTICULTURE
INFORMATION REGARDING CHANCE OF RAINFALL TODAY ?,AGRICULTURE
information regarding to new varieties of rice,AGRICULTURE
FOR CONTROL PEST ATTACK ON WHEAT?,AGRICULTURE
information regading improved varieties of paddy.,AGRICULTURE
control of stem borer?,AGRICULTURE
information regarding to seed of rice variety?,AGRICULTURE
INFORMATION REGARDING FOR THE SOWING TIME OF BAJRA?,AGRICULTURE
INFORMATION REGARDING FOR THE CONTROL OF RICE STEMBORER IN PADDY(JHONA) CROP?,AGRICULTURE
INFORMATION REGARDING WEATHER OF AMRITSAR?,AGRICULTURE
asking about new verities of rice crop,AGRICULTURE
information regarding to seed rate  of turmeric,HORTICULTURE
information regarding to suitable varieties of  cotton,AGRICULTURE
INFORMATION REGARDING NURSERY SOWING TIME OF RICE CROP ?,AGRICULTURE
CHANCES OF RAINFALL IN DIST TODAY?,AGRICULTURE
WEATHER IN AMRITSAR?,AGRICULTURE
INFORMATION REGARDING FOR THE CONTROL OF TERMITE IN SUGARCANE CROP?,AGRICULTURE
how to seed treatment of maize ?,AGRICULTURE
what is the dose of 24 D in sugarcane?,AGRICULTURE
how to control of weed of sugarcane  ?,AGRICULTURE
INFORMATION REGARDING CONTROL OF APHID IN WHEAT?,AGRICULTURE
INFORMATION REGARDING TO THE SEED RATE OF SUMMER MOONG ?,AGRICULTURE
INFORMATION REGARDING SEED RATE OF MAIZE FOR FODDER?,AGRICULTURE
WHAT IS THE YIELD OF PR 122?,AGRICULTURE
what is the contact number of pau?,AGRICULTURE
information regarding to control of catterpiller in tomato,HORTICULTURE
INFORMATION REGARDING THE NEW RELEASED VARIETIES OF PADDY.?,AGRICULTURE
information regarding control of weed in sugarcane?,AGRICULTURE
flower droping in citrus?,HORTICULTURE
INFORMATION CONTROL OF TERMITE IN WHEAT?,AGRICULTURE
information regarding to control of seed rate of fodder maize,AGRICULTURE
flower droping problem in citrus,HORTICULTURE
INFORMATION REGARDING IMPROVED VARIETY OF TEOSINTE?,AGRICULTURE
information regarding to seed rate  fodder maize,AGRICULTURE
NEW VARIETIES OF RICE?,AGRICULTURE
: IF THERE ARE ANY CHANCES OF RAINFALL TODAY.?,AGRICULTURE
INFORMATION REGARDING FOR THE SOWING TIME OF GREEN GRAM(MOONGI)?,AGRICULTURE
information regarding to  control of jassid in wheat,AGRICULTURE
wheather in amitsar?,AGRICULTURE
ASKING ABOUT WEATHER FORCASTING?,AGRICULTURE
cont no of pau?,AGRICULTURE
INFORMATION REGARDING TO THE CONTROL OF STEM BORER IN THE WHEAT CROP ?,AGRICULTURE
wheather of dist today?,AGRICULTURE
INFORMATION REGARDING CONTROL OF EARLY BLIGHT IN TOMATO?,HORTICULTURE
INFORMATION REGARDING WEATHER OF AMRITSAR?,AGRICULTURE
INFORMATION REGARDING FOR THE CONTROL OF HAIRY CATTERPILLER ATTACK ON GREEN GRAM(MOONGI) CROP?,AGRICULTURE
information regarding dose of urea in onion?,HORTICULTURE
information regarding weather condition?,AGRICULTURE
INFORMATION REGARDING CHANCE OF RAINFALL?,AGRICULTURE
information regarding to control of jassid in pumpkin,HORTICULTURE
INFORMATION REGARDING FOR THE CONTROL OF FUZARIUM WILT DISEASE IN TOMATO CROP?,HORTICULTURE
information regarding to control of collar rot in okra,HORTICULTURE
INFORMATION REGARDING FOR THE CURRENT WEATHER CONDITION?,AGRICULTURE
INFORMATION REGARDING TO THE CONTROL OF STEM BORER IN THE WHEAT CROP ?,AGRICULTURE
WHAT IS THE DATE OF SOWING OF RICE?,AGRICULTURE
INFORMATION REGARDING CONTROL OF APHIDS IN WHEAT ?,AGRICULTURE
problem of flower droping in chilli?,HORTICULTURE
INFORMATION REGARDING CONTROL OF APHIDS IN BHIND ?,HORTICULTURE
INFORMATION78 REGARDING CONTROL OF APHID IN WHEAT?,AGRICULTURE
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE
INFORMATION REGARDING FOR THE CONTROL OF EARLY SHOOT BORER IN SUGARCANE CROP?,AGRICULTURE
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE
VARRITIES OF RICE?,AGRICULTURE
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE
"INFORMATION REGARDING TO CONTROL OF THRIPS,MITES,APHIDS AND WHITEFLY IN CHILLI ?",HORTICULTURE
INFORMATION REGARDING TO CONTROL OF GRAM POD BORER IN THE WHEAT CROP ?,AGRICULTURE
how are weather today?,AGRICULTURE
Qury-weather of amritsar ??,AGRICULTURE
information regarding to new variety of rice?,AGRICULTURE
CHANCE OF RAINFALL TODAY.,AGRICULTURE
INFORMATION REGARDING CHANCE OF RAINFALL TODAY?,AGRICULTURE
control of catterpillar ?,AGRICULTURE
how are weather today?,AGRICULTURE
INFORMATION REGARDING NEW VARIETIES OF RICE?,AGRICULTURE
#  INFORMATION REGARDING LATEST VARIETIES OF RICE CROP ?,AGRICULTURE
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE
HOW TO CONTROL WHITE FLY &TELLA IN BHINDI CROP ?,HORTICULTURE
: INFORMATION REGARDING LATEST VARIETIES OF JOWAR?,AGRICULTURE
ASKING ABOUT WEATHER FORCASTING?,AGRICULTURE
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE
INFORMATION REGARDING TO THE SEED RATE OF SUMMER MOONG ?,AGRICULTURE
INFORMATION REGARDING CONTROL OF APHIDS IN WHEAT ?,AGRICULTURE
INFORMATION REGARDINDING TRAINING?,AGRICULTURE
information regarding nursery sowing time of paddy ?,AGRICULTURE
YELLOWING OF LEAVES OF GUAVA?,HORTICULTURE
WHAT IS THE VARIETY OF MAIZE?,AGRICULTURE
information regarding planting time of brinjal?,HORTICULTURE
varrities of rice?,AGRICULTURE
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE
CHANCES OF RAINFALL ?,AGRICULTURE
INFORMATION REGARDING CHANCE OF RAINFALL TODAY?,AGRICULTURE
INFORMATION REGARDING NEW VARIETIES OF RICE?,AGRICULTURE
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE
how are weather today?,AGRICULTURE
INFORMATION REGARDING TO THE CONTROL OF STEM BORER IN THE WHEAT CROP ?,AGRICULTURE
INFORMATION REGARDING TO THE SOWING SEASON OF (PETHHA),HORTICULTURE
INFORMATION REGARDING FOR THE CONTROL OF CATTERPILLER IN BARSEEM CROP?,AGRICULTURE
INFORMATION REGARDING FOR THE CONTROL OF WEEDS IN SUGARCANE  CROP?,AGRICULTURE
INFORMATION REGARDING FOR THE CONTROL OF FRUIT BORER IN TOMATO CROP?,HORTICULTURE
"INFORMATION REGARDING FOR THE CONTROL OF MELON APHIDS,CUCUMBER BEETLE & FLEA BEETLE IN CUCUMBER(KHEERA) CROP?",HORTICULTURE
information regarding to catterpiller?,HORTICULTURE
INFORMATION REGARDING FOR THE CONTROL OF GRASS HOPPER ATTACK ON BAJRA CROP?,AGRICULTURE
INFORMATION REGARDING TO THE CONTROL OF THRIP IN THE SUMMER MOONG ?,AGRICULTURE
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE
INFORMATION ABOUT TIME OF SOWING OF RICE CROP?,AGRICULTURE
ASKING ABOUT VERITIES OF CUCUMBER,HORTICULTURE
INFORMATION REGARDING IMPROVED VARIETIES OF RICE?,AGRICULTURE
information regarding dose of urea in chilli?,HORTICULTURE
IMPROVED VAR. OF RICE?,AGRICULTURE
INFORMATION REGARDING NEW VARIETIES OF RICE?,AGRICULTURE
#:  INFORMATION REGARDING CONTROL OF FRUIT AND SHOOT BORER IN BRINJAL ?,HORTICULTURE
INFORMATION REGARDING CHANCE OF RAINFALL TODAY?,AGRICULTURE
INFORMATION REGARDING IMPROVED VARIETIES OF RICE CROP?,AGRICULTURE
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF SUMMER MAIZE?,AGRICULTURE
INFORMATION RREGARDING CONTROL OF FLOWER DROPING IN POMEGRANATE?,HORTICULTURE
INFORMATION REGARDING SEED RATE OF RICE CROP?,AGRICULTURE
GUAVA BORER PROBLEM?,HORTICULTURE
WHAT IS THE YIELD OF BASMATIS NEW VARIETIES?,AGRICULTURE
INFORMATION REGARDING TO THE SOWING TIME OF SUMMER MOONG,AGRICULTURE
WHICH IS THE NEW VARIETY OF AMERICAN COTTON?,AGRICULTURE
INFORMATION REGARDING VARIETIES OF RICE CROP ?,AGRICULTURE
INFORMATION REGARDING NEW VARIETIES OF RICE?,AGRICULTURE
control of leaf borer in radish?,HORTICULTURE
INFORMATION REGARDING VARIETIES OF RICE CROP ?,AGRICULTURE
information regarding catterpiller in barseem?,AGRICULTURE
INFORMATION REGARDING IMPROVED VARIETIES OF BASMATI RICE ?,AGRICULTURE
information regarding new varieties of paddy ?,AGRICULTURE
WHAT IS THE DURATION OF GARLIC?,HORTICULTURE
information regarding new varieties of paddy ?,AGRICULTURE
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF COTTON(NARMA)?,AGRICULTURE
information regarding new varieties of paddy ?,AGRICULTURE
how to control of weed of sugarcane ?,AGRICULTURE
how to control of weed of sugarcane ?,AGRICULTURE
weather of amritsar ?,AGRICULTURE
INFORMATION REGARDING THE SOWING TIME OF RICE IN PUNJAB.?,AGRICULTURE
HOW MANY IRRIGATIONS  DO MOONG NEED?,AGRICULTURE
WHAT IS THE YIELD OF  PR 122?,AGRICULTURE
information regarding new varieties of paddy ?,AGRICULTURE
information regarding new varieties of paddy ?,AGRICULTURE
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF BLACK GRAM(MAH)?,AGRICULTURE
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF BLACK GRAM(MAH)?,AGRICULTURE
for control of bhahbu kutta in barseem?,AGRICULTURE
for control of bhahbu kutta in barseem?,AGRICULTURE
WHAT IS THE YIELD OF PR 122?,AGRICULTURE
varieties of summer moong?,AGRICULTURE
varieties of paddy ?,AGRICULTURE
varieties of paddy ?,AGRICULTURE
improved varieties paddy ?,AGRICULTURE
improved varieties paddy ?,AGRICULTURE
CONTROL OF DOWNY MILDEW IN THE ONION ?,HORTICULTURE
WHAT IS THE YIELD OF PR 121?,AGRICULTURE
information regarding to new varieties of rice,AGRICULTURE
information regardingh to seed treatment of sugarcane?,AGRICULTURE
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF BLACK GRAM(MAH)?,AGRICULTURE
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE
information regarding to controll of caterpiller in black gram?,AGRICULTURE
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF SUMMER MAIZE?,AGRICULTURE
WHAT ARE THE NEW VARIETIES OF RICE?,AGRICULTURE
WHAT IS THE TIME OF PLANTING OF NURSERY?,AGRICULTURE
information regarding chance of rainfall today?,AGRICULTURE
INFORMATION REGARDING TO CONTROLL OF FRUIT BORER IN TOMATO CROP?,HORTICULTURE
dropping of flowers?,HORTICULTURE
INFORMATION CHANCE OF RAINFALL TODAY?,AGRICULTURE
how are weather today?,AGRICULTURE
INFORMATION REGARDING FOR THE SUITABLE SEED RATE OF PADDY(JHONA) PER ACRE?,AGRICULTURE
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE
"INFORMATION REGARDING THE CONTAC NO. OF PAU, LUDHIANA.?",AGRICULTURE
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE
information regarding to control of fruit borer in brinjal,HORTICULTURE
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE
information regarding to contrrol of bihar hairy catterpiller in mungbean,AGRICULTURE
INFORMATION REGARDING THE SOWING TIME OF RICE IN PUNJAB.?,AGRICULTURE
INFORMATION REGARDING FOR THE CONTROL OF GRASS HOPPER ATTACK ON BAJRA CROP?,AGRICULTURE
INFORMATION REGARDING THE  CONTROL OF BIHARI CATERPILLAR IN BARSEEM.?,AGRICULTURE
information regarding to seed treatment in cotton,AGRICULTURE
INFORMATION REGARDING FOR THE SUITABLE SOWING TIME OF PADDY(JHONA) ?,AGRICULTURE
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE
NEW VARITY OF RICE?,AGRICULTURE
INFORMATION REGARDING NEW VARIETIES OF RICE?,AGRICULTURE
WHAT IS THE SOWING TIME OF VAEGETABLES?,HORTICULTURE
flower droping in moong?,AGRICULTURE
INFORMATION REGARDING CHANCE OF RAINFALL TODAY?,AGRICULTURE
INFORMATION REGARDING WEATHER OF AMRITSAR?,AGRICULTURE
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE
INFORMATION REGARDING FOR THE CONTROL OF EARLY SHOOT BORER IN SUGARCANE CROP?,AGRICULTURE
information regarding to varieties of kharif  maize,AGRICULTURE
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE
INFORMATION REGARDING NEW VARIETIES OF RICE?,AGRICULTURE
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE
IF THERE ARE ANY CHANCES OF RAINFALL  IN UPCOMING DAYS. .?,AGRICULTURE
information regarding to new variety?,AGRICULTURE
what are the new varieties of rice?,AGRICULTURE
WHAT IS THE DATE OF NURSERY PLANTING OF RICE?,AGRICULTURE
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF SUGARCANE ?,AGRICULTURE
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF SUMMER MAIZE?,AGRICULTURE
which are the varieties of rice?,AGRICULTURE
info,AGRICULTURE
information regarding to new varieties of rice,AGRICULTURE
INFORMATION REGARDING FOR THE CONTROL OF POWDRY MILDEW DISEASE IN WATERMELON CROP?,HORTICULTURE
information regarding to control of maize borer in maize,AGRICULTURE
information regarding to suitable varieties of rice,AGRICULTURE
new varieties of paddy?,AGRICULTURE
INFORMATION REGARDING FOR THE CURRENT WEATHER CONDITION?,AGRICULTURE
information regarding improved varieties of rice?,AGRICULTURE
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE
information regarding to contrrol of bihar hairy catterpiller in mungbean,AGRICULTURE
information regarding to suitable varieties of rice,AGRICULTURE
INFORMATION REGARDING WEED CONTROL OF SURARCANE ?,AGRICULTURE
WEATHER INFORMATION?,AGRICULTURE
transplanting time of paddy nursery?,AGRICULTURE
information regarding to suitable varieties of rice,AGRICULTURE
INFORMATION REGARDING LATEST VARIETIES OF RICE CROP ?,AGRICULTURE
ROTTING OF SUGARCANE DUE TO CATERPILLAR?,AGRICULTURE
information regarding to suitable varieties of turmeric,HORTICULTURE
new varieties of basmati rice?,AGRICULTURE
information regarding to suitable varieties of rice,AGRICULTURE
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE
what should be done to get high yield in bhindi?,HORTICULTURE
problem of phillipine downy mildew in maize?,AGRICULTURE
information regarding to spacing in turmeric,HORTICULTURE
INFORMATION REGARDING FOR THE CONTROL OF MAIZE BORER ATTACK ON SUMMER MAIZE CROP?,AGRICULTURE
information regarding to control of stem borer in sugarcane,AGRICULTURE
INFORMATION REGARDING FOR THE CONTROL OF MAIZE BORER ATTACK ON SUMMER MAIZE CROP?,AGRICULTURE
INFORMATION REGARDING FOR THE CONTROL OF RICE STEMBORER IN PADDY(JHONA) CROP?,AGRICULTURE
INFORMATION REGARDING FOR THE CONTROL OF RICE STEMBORER IN PADDY(JHONA) CROP?,AGRICULTURE
INFORMATION REGARDING FOR THE CONTROL OF RICE STEMBORER IN PADDY(JHONA) CROP?,AGRICULTURE
information regarding to suitable varieties of rice,AGRICULTURE
