QueryText,Sector,aug_method
contact no of krishi vigyan kendra?,AGRICULTURE,original
problem of stem rot in barseem?,AGRICULTURE,original
INFORMATION REGARDING FOR THE FERT. DOSE AT THE TIME OF  CAPSICUM(SHIMLA MIRCH)  SEEDLING TRANSPLANTING?,HORTICULTURE,original
INFORMATION REGARDING TO THE CONTROL OF APHID IN WHEAT.?,AGRICULTURE,original
INFORMATION REGARDING FOR THE CONTROL OF YELLOW RUST DISEASE IN WHEAT CROP?,AGRICULTURE,original
irrigation in wheat?,AGRICULTURE,original
WHETHER TO NEED IRRIGATE WHEAT 15 DAYS BEFORE HARVESTING?,AGRICULTURE,original
INFORMATION REGARDING WEATHER OF FEROZEPUR?,AGRICULTURE,original
problem of white fly in peach?,HORTICULTURE,original
INFORMATION REGARDING FOR THE CONTROL OF TERMITE IN SUGARCANE CROP?,AGRICULTURE,original
information regarding dose of urea in bhindi?,HORTICULTURE,original
control of stem rot in barseam?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF SUMMER MAIZE?,AGRICULTURE,original
fertilizers of tomato?,HORTICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE SEED RATE OF PADDY(JHONA) PER ACRE?,AGRICULTURE,original
INFORMATION REGARDING CHANCES OF RAINFALL IN DIST?,AGRICULTURE,original
information regarding to control of root rot in  chilli,HORTICULTURE,original
INFORMATION REGARDING CONTROL OF APHIDS IN BRINJAL ?,HORTICULTURE,original
information regarding to control of citrus psylla in citrus,HORTICULTURE,original
INFORMATION REGARDING TO THE IRRIGATION IN THE WHEAT CROP ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE CONTROL OF APHIDS IN WHEAT CROP?,AGRICULTURE,original
INFORMATION REGARDING TO THE CONTROL OF APHID IN WHEAT.?,AGRICULTURE,original
WEATHER IN AMRITSAR?,AGRICULTURE,original
WEATHJER REPORT FOR AMRITSAR?,AGRICULTURE,original
problam of deflower in guava?,HORTICULTURE,original
"control of dropping flower in lemon?
.",HORTICULTURE,original
WEATHER REPORT IN AMRITSAR?,AGRICULTURE,original
#:  INFORMATION REGARDING IMPROVED VARIETIES OF MAIZE ?,AGRICULTURE,original
#     INFORMATION REGARDING TO THE CONTROL OF STEM BORER IN THE WHEAT CROP ?,AGRICULTURE,original
WHETHER TO NEED TO IRRIGATE WHEAT CROP BEFORE15 DAYS OF HARVEST?,AGRICULTURE,original
information regarding to the weather condition ?,AGRICULTURE,original
WEED INFESTION IN SUGARCANE CROP,AGRICULTURE,original
INFORMATION REGARDING TO THE CONTROL OF STEM BORER IN THE WHEAT CROP ?,AGRICULTURE,original
INFORMATION REGARDING TO THE SEED RATE OF SUMMER MOONG ?,AGRICULTURE,original
contactno. of pau ludhiana?,AGRICULTURE,original
INFORMATION REGARDING CONTROL OF APHID IN WHEAT?,AGRICULTURE,original
INFORMATION REGARDING FOR THE CONTROL OF HAIRY CATTERPILLER ATTACK ON BLACK GRAM(MAH) CROP?,AGRICULTURE,original
WHICH ARE THE NEW VARIETIES OF BASMATI?,AGRICULTURE,original
weather information.,AGRICULTURE,original
INFORMATION REGARDING TO THE CONTROL OF YELLOW RUST IN THE WHEAT ?,AGRICULTURE,original
INFORMATION REGARDING LATEST VARIETIES OF RICE CROP ?,AGRICULTURE,original
INFORMATION REGARDING TO THE CONTROL OF STEM BORER IN THE WHEAT CROP ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE,original
NEW VARIETIES OF PADDY RELEASED BY PAU LUDHIANA?,AGRICULTURE,original
information regarding to suitable varieties of mungbean,AGRICULTURE,original
information regarding jassid in bhindi ?,HORTICULTURE,original
#   INFORMATION REGARDING TO THE IMPROVED VARIETIES OF SUMMER MOONG ?,AGRICULTURE,original
#   INFORMATION REGARDING TO THE IMPROVED VARIETIES OF SUMMER MOONG ?,AGRICULTURE,original
information regarding to control of stem borer in sugarcane,AGRICULTURE,original
NFORMATION REGARDING TO irrigation IN THE SUMMER MOONG ?,AGRICULTURE,original
information regarding to control of weed in mungbean,AGRICULTURE,original
asking about weather forcasting,AGRICULTURE,original
how are weather today?,AGRICULTURE,original
information regarding to control of bihar hairy catterpiller,AGRICULTURE,original
IF THERE ARE ANY CHANCES OF RAINFALL TODAY.?,AGRICULTURE,original
INFORMATION ABOUT PAU NUMBER?,AGRICULTURE,original
information regarding to control of jassid in pumpkin,HORTICULTURE,original
information regarding to control of bihar hairy catterpiller,AGRICULTURE,original
IF THERE ARE ANY CHANCES OF RAINFALL TODAY.?,AGRICULTURE,original
INFORMATION REGARDING LATEST VARIETIES OF RICE CROP ?,AGRICULTURE,original
information regarding to new varieties of rice,AGRICULTURE,original
INFORMATION REGARDING DOSE OF UREA FOR GUAVA SIX YEAR PLANT?,HORTICULTURE,original
INFORMATION REGARDING TO THE CONDITION OF WEATHER,AGRICULTURE,original
TERMITS PROBLEMS IN SUGARCANE CROP,AGRICULTURE,original
asking about weather forcasting,AGRICULTURE,original
CONTECT NO. OF PAU  LUDHIANA,AGRICULTURE,original
information regarding weather condition?,AGRICULTURE,original
control of termite in barseam?,AGRICULTURE,original
control of leaf catterpillar ?,HORTICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE SOWING TIME OF PADDY(JHONA) ?,AGRICULTURE,original
information regarding weather ?,AGRICULTURE,original
INFORMATION REGARDING TO THE SEED RATE OF[SPRING SEASON] MAIZ CROP ?,AGRICULTURE,original
WEATHER IN AMRITSAR?,AGRICULTURE,original
WEATHER INFROAMTION?,AGRICULTURE,original
BARSEEM CATERPILLAR PROBLEM?,AGRICULTURE,original
INFORMATION REGARDING THE FOLIAR SPRAY OF ZnSo4 IN CITRUS.?,HORTICULTURE,original
INFORMATION REGARDING THE CONTROL OF FLOWER DROPPING.?,HORTICULTURE,original
INFORMATION REGARDING FOR THE SOWING TIME OF BAJRA?,AGRICULTURE,original
information regarding to weather?,AGRICULTURE,original
CONTECT NO. OF PAU  LUDHIANA,AGRICULTURE,original
information regading improved varieties of paddy.,AGRICULTURE,original
INFORMATION REGARDING FOR THE CONTROL OF LATE BLIGHT DISEASE IN TOMATO CROP?,HORTICULTURE,original
WEATHER REPORT?,AGRICULTURE,original
ASKINGH NEW VERITIES OF COTTON CROP?,AGRICULTURE,original
weather of amritsar ?,AGRICULTURE,original
information regarding to new varieties of basmati rice,AGRICULTURE,original
INFORMATION REGARDING DOSE OF UREA IN TOMATO?,HORTICULTURE,original
control of worm in bhindi?,HORTICULTURE,original
fruit droping problem in citrus,HORTICULTURE,original
asking about new verities of rice crop,AGRICULTURE,original
INFORMATION REGARDING LATEST VARIETIES OF RICE CROP ?,AGRICULTURE,original
INFORMATION REGARDING TO THE IMPROVED VARIETIES OF SUMMER MOONG ?,AGRICULTURE,original
cont no of pau?,AGRICULTURE,original
INFORMATION REGARDING TO THE CONTROL OF YELLOW RUST IN THE WHEAT ?,AGRICULTURE,original
information regarding to control of root rot in okra,HORTICULTURE,original
INFORMATION REGARDING CHANCE OF RAINFALL TODAY ?,AGRICULTURE,original
information regarding to new varieties of rice,AGRICULTURE,original
FOR CONTROL PEST ATTACK ON WHEAT?,AGRICULTURE,original
information regading improved varieties of paddy.,AGRICULTURE,original
control of stem borer?,AGRICULTURE,original
information regarding to seed of rice variety?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SOWING TIME OF BAJRA?,AGRICULTURE,original
INFORMATION REGARDING FOR THE CONTROL OF RICE STEMBORER IN PADDY(JHONA) CROP?,AGRICULTURE,original
INFORMATION REGARDING WEATHER OF AMRITSAR?,AGRICULTURE,original
asking about new verities of rice crop,AGRICULTURE,original
information regarding to seed rate  of turmeric,HORTICULTURE,original
information regarding to suitable varieties of  cotton,AGRICULTURE,original
INFORMATION REGARDING NURSERY SOWING TIME OF RICE CROP ?,AGRICULTURE,original
CHANCES OF RAINFALL IN DIST TODAY?,AGRICULTURE,original
WEATHER IN AMRITSAR?,AGRICULTURE,original
INFORMATION REGARDING FOR THE CONTROL OF TERMITE IN SUGARCANE CROP?,AGRICULTURE,original
how to seed treatment of maize ?,AGRICULTURE,original
what is the dose of 24 D in sugarcane?,AGRICULTURE,original
how to control of weed of sugarcane  ?,AGRICULTURE,original
INFORMATION REGARDING CONTROL OF APHID IN WHEAT?,AGRICULTURE,original
INFORMATION REGARDING TO THE SEED RATE OF SUMMER MOONG ?,AGRICULTURE,original
INFORMATION REGARDING SEED RATE OF MAIZE FOR FODDER?,AGRICULTURE,original
WHAT IS THE YIELD OF PR 122?,AGRICULTURE,original
what is the contact number of pau?,AGRICULTURE,original
information regarding to control of catterpiller in tomato,HORTICULTURE,original
INFORMATION REGARDING THE NEW RELEASED VARIETIES OF PADDY.?,AGRICULTURE,original
information regarding control of weed in sugarcane?,AGRICULTURE,original
flower droping in citrus?,HORTICULTURE,original
INFORMATION CONTROL OF TERMITE IN WHEAT?,AGRICULTURE,original
information regarding to control of seed rate of fodder maize,AGRICULTURE,original
flower droping problem in citrus,HORTICULTURE,original
INFORMATION REGARDING IMPROVED VARIETY OF TEOSINTE?,AGRICULTURE,original
information regarding to seed rate  fodder maize,AGRICULTURE,original
NEW VARIETIES OF RICE?,AGRICULTURE,original
: IF THERE ARE ANY CHANCES OF RAINFALL TODAY.?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SOWING TIME OF GREEN GRAM(MOONGI)?,AGRICULTURE,original
information regarding to  control of jassid in wheat,AGRICULTURE,original
wheather in amitsar?,AGRICULTURE,original
ASKING ABOUT WEATHER FORCASTING?,AGRICULTURE,original
cont no of pau?,AGRICULTURE,original
INFORMATION REGARDING TO THE CONTROL OF STEM BORER IN THE WHEAT CROP ?,AGRICULTURE,original
wheather of dist today?,AGRICULTURE,original
INFORMATION REGARDING CONTROL OF EARLY BLIGHT IN TOMATO?,HORTICULTURE,original
INFORMATION REGARDING WEATHER OF AMRITSAR?,AGRICULTURE,original
INFORMATION REGARDING FOR THE CONTROL OF HAIRY CATTERPILLER ATTACK ON GREEN GRAM(MOONGI) CROP?,AGRICULTURE,original
information regarding dose of urea in onion?,HORTICULTURE,original
information regarding weather condition?,AGRICULTURE,original
INFORMATION REGARDING CHANCE OF RAINFALL?,AGRICULTURE,original
information regarding to control of jassid in pumpkin,HORTICULTURE,original
INFORMATION REGARDING FOR THE CONTROL OF FUZARIUM WILT DISEASE IN TOMATO CROP?,HORTICULTURE,original
information regarding to control of collar rot in okra,HORTICULTURE,original
INFORMATION REGARDING FOR THE CURRENT WEATHER CONDITION?,AGRICULTURE,original
INFORMATION REGARDING TO THE CONTROL OF STEM BORER IN THE WHEAT CROP ?,AGRICULTURE,original
WHAT IS THE DATE OF SOWING OF RICE?,AGRICULTURE,original
INFORMATION REGARDING CONTROL OF APHIDS IN WHEAT ?,AGRICULTURE,original
problem of flower droping in chilli?,HORTICULTURE,original
INFORMATION REGARDING CONTROL OF APHIDS IN BHIND ?,HORTICULTURE,original
INFORMATION78 REGARDING CONTROL OF APHID IN WHEAT?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE CONTROL OF EARLY SHOOT BORER IN SUGARCANE CROP?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE,original
VARRITIES OF RICE?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE,original
"INFORMATION REGARDING TO CONTROL OF THRIPS,MITES,APHIDS AND WHITEFLY IN CHILLI ?",HORTICULTURE,original
INFORMATION REGARDING TO CONTROL OF GRAM POD BORER IN THE WHEAT CROP ?,AGRICULTURE,original
how are weather today?,AGRICULTURE,original
Qury-weather of amritsar ??,AGRICULTURE,original
information regarding to new variety of rice?,AGRICULTURE,original
CHANCE OF RAINFALL TODAY.,AGRICULTURE,original
INFORMATION REGARDING CHANCE OF RAINFALL TODAY?,AGRICULTURE,original
control of catterpillar ?,AGRICULTURE,original
how are weather today?,AGRICULTURE,original
INFORMATION REGARDING NEW VARIETIES OF RICE?,AGRICULTURE,original
#  INFORMATION REGARDING LATEST VARIETIES OF RICE CROP ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE,original
HOW TO CONTROL WHITE FLY &TELLA IN BHINDI CROP ?,HORTICULTURE,original
: INFORMATION REGARDING LATEST VARIETIES OF JOWAR?,AGRICULTURE,original
ASKING ABOUT WEATHER FORCASTING?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE,original
INFORMATION REGARDING TO THE SEED RATE OF SUMMER MOONG ?,AGRICULTURE,original
INFORMATION REGARDING CONTROL OF APHIDS IN WHEAT ?,AGRICULTURE,original
INFORMATION REGARDINDING TRAINING?,AGRICULTURE,original
information regarding nursery sowing time of paddy ?,AGRICULTURE,original
YELLOWING OF LEAVES OF GUAVA?,HORTICULTURE,original
WHAT IS THE VARIETY OF MAIZE?,AGRICULTURE,original
information regarding planting time of brinjal?,HORTICULTURE,original
varrities of rice?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE,original
CHANCES OF RAINFALL ?,AGRICULTURE,original
INFORMATION REGARDING CHANCE OF RAINFALL TODAY?,AGRICULTURE,original
INFORMATION REGARDING NEW VARIETIES OF RICE?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE,original
how are weather today?,AGRICULTURE,original
INFORMATION REGARDING TO THE CONTROL OF STEM BORER IN THE WHEAT CROP ?,AGRICULTURE,original
INFORMATION REGARDING TO THE SOWING SEASON OF (PETHHA),HORTICULTURE,original
INFORMATION REGARDING FOR THE CONTROL OF CATTERPILLER IN BARSEEM CROP?,AGRICULTURE,original
INFORMATION REGARDING FOR THE CONTROL OF WEEDS IN SUGARCANE  CROP?,AGRICULTURE,original
INFORMATION REGARDING FOR THE CONTROL OF FRUIT BORER IN TOMATO CROP?,HORTICULTURE,original
"INFORMATION REGARDING FOR THE CONTROL OF MELON APHIDS,CUCUMBER BEETLE & FLEA BEETLE IN CUCUMBER(KHEERA) CROP?",HORTICULTURE,original
information regarding to catterpiller?,HORTICULTURE,original
INFORMATION REGARDING FOR THE CONTROL OF GRASS HOPPER ATTACK ON BAJRA CROP?,AGRICULTURE,original
INFORMATION REGARDING TO THE CONTROL OF THRIP IN THE SUMMER MOONG ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE,original
INFORMATION ABOUT TIME OF SOWING OF RICE CROP?,AGRICULTURE,original
ASKING ABOUT VERITIES OF CUCUMBER,HORTICULTURE,original
INFORMATION REGARDING IMPROVED VARIETIES OF RICE?,AGRICULTURE,original
information regarding dose of urea in chilli?,HORTICULTURE,original
IMPROVED VAR. OF RICE?,AGRICULTURE,original
INFORMATION REGARDING NEW VARIETIES OF RICE?,AGRICULTURE,original
#:  INFORMATION REGARDING CONTROL OF FRUIT AND SHOOT BORER IN BRINJAL ?,HORTICULTURE,original
INFORMATION REGARDING CHANCE OF RAINFALL TODAY?,AGRICULTURE,original
INFORMATION REGARDING IMPROVED VARIETIES OF RICE CROP?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF SUMMER MAIZE?,AGRICULTURE,original
INFORMATION RREGARDING CONTROL OF FLOWER DROPING IN POMEGRANATE?,HORTICULTURE,original
INFORMATION REGARDING SEED RATE OF RICE CROP?,AGRICULTURE,original
GUAVA BORER PROBLEM?,HORTICULTURE,original
WHAT IS THE YIELD OF BASMATIS NEW VARIETIES?,AGRICULTURE,original
INFORMATION REGARDING TO THE SOWING TIME OF SUMMER MOONG,AGRICULTURE,original
WHICH IS THE NEW VARIETY OF AMERICAN COTTON?,AGRICULTURE,original
INFORMATION REGARDING VARIETIES OF RICE CROP ?,AGRICULTURE,original
INFORMATION REGARDING NEW VARIETIES OF RICE?,AGRICULTURE,original
control of leaf borer in radish?,HORTICULTURE,original
INFORMATION REGARDING VARIETIES OF RICE CROP ?,AGRICULTURE,original
information regarding catterpiller in barseem?,AGRICULTURE,original
INFORMATION REGARDING IMPROVED VARIETIES OF BASMATI RICE ?,AGRICULTURE,original
information regarding new varieties of paddy ?,AGRICULTURE,original
WHAT IS THE DURATION OF GARLIC?,HORTICULTURE,original
information regarding new varieties of paddy ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF COTTON(NARMA)?,AGRICULTURE,original
information regarding new varieties of paddy ?,AGRICULTURE,original
how to control of weed of sugarcane ?,AGRICULTURE,original
how to control of weed of sugarcane ?,AGRICULTURE,original
weather of amritsar ?,AGRICULTURE,original
INFORMATION REGARDING THE SOWING TIME OF RICE IN PUNJAB.?,AGRICULTURE,original
HOW MANY IRRIGATIONS  DO MOONG NEED?,AGRICULTURE,original
WHAT IS THE YIELD OF  PR 122?,AGRICULTURE,original
information regarding new varieties of paddy ?,AGRICULTURE,original
information regarding new varieties of paddy ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF BLACK GRAM(MAH)?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF BLACK GRAM(MAH)?,AGRICULTURE,original
for control of bhahbu kutta in barseem?,AGRICULTURE,original
for control of bhahbu kutta in barseem?,AGRICULTURE,original
WHAT IS THE YIELD OF PR 122?,AGRICULTURE,original
varieties of summer moong?,AGRICULTURE,original
varieties of paddy ?,AGRICULTURE,original
varieties of paddy ?,AGRICULTURE,original
improved varieties paddy ?,AGRICULTURE,original
improved varieties paddy ?,AGRICULTURE,original
CONTROL OF DOWNY MILDEW IN THE ONION ?,HORTICULTURE,original
WHAT IS THE YIELD OF PR 121?,AGRICULTURE,original
information regarding to new varieties of rice,AGRICULTURE,original
information regardingh to seed treatment of sugarcane?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF BLACK GRAM(MAH)?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE,original
information regarding to controll of caterpiller in black gram?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF SUMMER MAIZE?,AGRICULTURE,original
WHAT ARE THE NEW VARIETIES OF RICE?,AGRICULTURE,original
WHAT IS THE TIME OF PLANTING OF NURSERY?,AGRICULTURE,original
information regarding chance of rainfall today?,AGRICULTURE,original
INFORMATION REGARDING TO CONTROLL OF FRUIT BORER IN TOMATO CROP?,HORTICULTURE,original
dropping of flowers?,HORTICULTURE,original
INFORMATION CHANCE OF RAINFALL TODAY?,AGRICULTURE,original
how are weather today?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE SEED RATE OF PADDY(JHONA) PER ACRE?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE,original
"INFORMATION REGARDING THE CONTAC NO. OF PAU, LUDHIANA.?",AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE,original
information regarding to control of fruit borer in brinjal,HORTICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE,original
information regarding to contrrol of bihar hairy catterpiller in mungbean,AGRICULTURE,original
INFORMATION REGARDING THE SOWING TIME OF RICE IN PUNJAB.?,AGRICULTURE,original
INFORMATION REGARDING FOR THE CONTROL OF GRASS HOPPER ATTACK ON BAJRA CROP?,AGRICULTURE,original
INFORMATION REGARDING THE  CONTROL OF BIHARI CATERPILLAR IN BARSEEM.?,AGRICULTURE,original
information regarding to seed treatment in cotton,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE SOWING TIME OF PADDY(JHONA) ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE,original
NEW VARITY OF RICE?,AGRICULTURE,original
INFORMATION REGARDING NEW VARIETIES OF RICE?,AGRICULTURE,original
WHAT IS THE SOWING TIME OF VAEGETABLES?,HORTICULTURE,original
flower droping in moong?,AGRICULTURE,original
INFORMATION REGARDING CHANCE OF RAINFALL TODAY?,AGRICULTURE,original
INFORMATION REGARDING WEATHER OF AMRITSAR?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE CONTROL OF EARLY SHOOT BORER IN SUGARCANE CROP?,AGRICULTURE,original
information regarding to varieties of kharif  maize,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE,original
INFORMATION REGARDING NEW VARIETIES OF RICE?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE,original
IF THERE ARE ANY CHANCES OF RAINFALL  IN UPCOMING DAYS. .?,AGRICULTURE,original
information regarding to new variety?,AGRICULTURE,original
what are the new varieties of rice?,AGRICULTURE,original
WHAT IS THE DATE OF NURSERY PLANTING OF RICE?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF SUGARCANE ?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF SUMMER MAIZE?,AGRICULTURE,original
which are the varieties of rice?,AGRICULTURE,original
info,AGRICULTURE,original
information regarding to new varieties of rice,AGRICULTURE,original
INFORMATION REGARDING FOR THE CONTROL OF POWDRY MILDEW DISEASE IN WATERMELON CROP?,HORTICULTURE,original
information regarding to control of maize borer in maize,AGRICULTURE,original
information regarding to suitable varieties of rice,AGRICULTURE,original
new varieties of paddy?,AGRICULTURE,original
INFORMATION REGARDING FOR THE CURRENT WEATHER CONDITION?,AGRICULTURE,original
information regarding improved varieties of rice?,AGRICULTURE,original
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,AGRICULTURE,original
information regarding to contrrol of bihar hairy catterpiller in mungbean,AGRICULTURE,original
